"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cbbaabbbbbabbbaabbbabbbbbababagaabd	23340097025
cbbaabbbbbabbbaabbbabbbbbababfaaabd	23340097025
cbbaabbbbbabbbaabbbabbbbbabagaaaabd	23340097025
cbbaabbbbbabbbaabbbabbbbbabfaaaaabd	23340097025
cbbaabbbbbabbbaabbbabbbbbagaaaaaabd	23340097025
cbbaabbbbbabbbaabbbabbbbbfaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbabbbbgaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbabbbgbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbabbgbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbabgbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbagbbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbbfabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabbgaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaabgbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbaagbbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbafabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbbebabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabbfbbabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbabgabbabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbagbabbabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbbfababbabbaabbbbaaaaaaaabd	23340097025
cbbaabbbbgaababbabbaabbbbaaaaaaaabd	23340097025
cbbaabbbgbaababbabbaabbbbaaaaaaaabd	23340097025
cbbaabbgbbaababbabbaabbbbaaaaaaaabd	23340097025
cbbaabgbbbaababbabbaabbbbaaaaaaaabd	23340097025
cbbaagbbbbaababbabbaabbbbaaaaaaaabd	23340097025
