"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
cbabbababbbabbbaababbfbbbbad	172174430
cbabbababbbabbbaababgabbbbad	172174430
cbabbababbbabbbaabagbabbbbad	172174430
cbabbababbbabbbaabfababbbbad	172174430
cbabbababbbabbbaagaababbbbad	172174430
cbabbababbbabbbafaaababbbbad	172174430
cbabbababbbabbbebaaababbbbad	172174430
cbabbababbbabbfbbaaababbbbad	172174430
cbabbababbbabgabbaaababbbbad	172174430
cbabbababbbagbabbaaababbbbad	172174430
cbabbababbbfababbaaababbbbad	172174430
cbabbababbgaababbaaababbbbad	172174430
cbabbababgbaababbaaababbbbad	172174430
cbabbabagbbaababbaaababbbbad	172174430
cbabbabfabbaababbaaababbbbad	172174430
cbabbagaabbaababbaaababbbbad	172174430
cbabbfaaabbaababbaaababbbbad	172174430
cbabgaaaabbaababbaaababbbbad	172174430
cbagbaaaabbaababbaaababbbbad	172174430
cbfabaaaabbaababbaaababbbbad	172174430
cgaabaaaabbaababbaaababbbbad	172174430
cabaabaaaabbaababbaaababbbbad	172174430
cabaabaaaabbaababbaaababbbbd	86087215
cabaabaaaabbaababbaaababbbgd	129130823
cabaabaaaabbaababbaaababbgbd	129130823
cabaabaaaabbaababbaaababgbbd	129130823
cabaabaaaabbaababbaaabagbbbd	129130823
cabaabaaaabbaababbaaabfabbbd	129130823
cabaabaaaabbaababbaaagaabbbd	129130823
cabaabaaaabbaababbaafaaabbbd	129130823
cabaabaaaabbaababbaebaaabbbd	129130823
cabaabaaaabbaababbeabaaabbbd	129130823
cabaabaaaabbaababfbabaaabbbd	129130823
cabaabaaaabbaabagababaaabbbd	129130823
cabaabaaaabbaabfaababaaabbbd	129130823
cabaabaaaabbaagaaababaaabbbd	129130823
cabaabaaaabbafaaaababaaabbbd	129130823
